날짜,예측된 관상,확률
2025-02-05 13:12:00, 돼지상,69.45799589157104
2025-02-05 13:12:22, 돼지상,99.99780654907228
2025-02-05 13:12:26, 돼지상,99.99780654907228
2025-02-05 14:01:29, 돼지상,99.99780654907227
2025-02-05 14:01:50, 고양이상,98.86820316314697
